Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success
12/20,0/20,12050,1205000,75.64472317695618,3624.418629169464,175.89247135818005,469.8172536045313,0.64
12/20,1/20,12100,1210000,77.08717012405396,3618.0642726421356,177.63403651118279,483.02907729148865,0.0
12/20,2/20,12150,1215000,98.0157949924469,3613.9735753536224,177.30623696744442,494.8128835707903,0.79
12/20,3/20,12200,1220000,93.35119366645813,3626.063725233078,175.54634656012058,485.85945561528206,0.8
12/20,4/20,12250,1225000,95.52192091941833,3649.3551194667816,178.83739195764065,475.7980846911669,0.21
12/20,5/20,12300,1230000,95.70224499702454,3650.552726507187,179.7882466763258,460.39353550970554,0.05
12/20,6/20,12350,1235000,111.81704497337341,3707.871157169342,177.929048538208,484.5535210520029,0.02
12/20,7/20,12400,1240000,81.76826524734497,3702.710992336273,182.10808119177818,476.42282907664776,0.68
12/20,8/20,12450,1245000,77.42024087905884,3748.4479212760925,182.65076932311058,486.3201787173748,0.0
12/20,9/20,12500,1250000,111.7347309589386,3723.660651445389,180.97921520471573,491.34336768090725,0.0
12/20,10/20,12550,1255000,124.95553302764893,3750.450209379196,186.83186729252338,507.9216342866421,0.0
12/20,11/20,12600,1260000,110.50915479660034,3765.3077216148376,186.24016100168228,470.4293317049742,0.0
12/20,12/20,12650,1265000,66.84613800048828,3794.5817017555237,182.8931436985731,470.8538396805525,0.89
12/20,13/20,12700,1270000,66.86581802368164,3866.3843359947205,182.33725637197495,455.5396752655506,0.95
12/20,14/20,12750,1275000,89.66172814369202,3913.549500465393,187.2069370597601,497.87745060026646,0.81
12/20,15/20,12800,1280000,102.86372685432434,3949.5281660556793,187.49845020473003,523.2238205522299,0.53
12/20,16/20,12850,1285000,96.11785769462585,3946.100542783737,187.6023364365101,521.8743458539248,0.36
12/20,17/20,12900,1290000,92.61073994636536,3941.187454223633,187.07277128100395,511.5476124435663,0.0
12/20,18/20,12950,1295000,79.15103888511658,3984.135595560074,193.69017128646374,488.6285636872053,1.0
12/20,19/20,13000,1300000,92.3631021976471,4010.6436421871185,186.35850992798805,525.0109646618366,0.01
13/20,0/20,13050,1305000,79.73088812828064,3993.8495581150055,186.38717490434647,523.37871915102,1.0
13/20,1/20,13100,1310000,91.2826509475708,4034.017228126526,186.93621799349785,556.2007640898228,0.85
13/20,2/20,13150,1315000,67.05312609672546,4037.541118621826,188.04331327974796,508.0686350762844,0.87
13/20,3/20,13200,1320000,68.16463589668274,4045.331035375595,184.4919058084488,510.2453487813473,0.99
13/20,4/20,13250,1325000,64.96593928337097,4117.978959798813,186.87677505612373,496.2115385532379,1.0
13/20,5/20,13300,1330000,67.54544997215271,4126.849400520325,188.958352714777,506.2088132202625,0.96
13/20,6/20,13350,1335000,59.25961399078369,4107.91867685318,194.98191732168198,512.1948938816786,0.93
13/20,7/20,13400,1340000,66.26341199874878,4145.807602643967,192.34991593658924,507.7712087184191,1.0
13/20,8/20,13450,1345000,67.91497898101807,4158.318775177002,194.66583974659443,478.1390052884817,0.54
13/20,9/20,13500,1350000,97.59298777580261,4186.047453403473,190.65583243966103,527.9268767088652,0.86
13/20,10/20,13550,1355000,77.00236177444458,4194.7667927742,195.66605818271637,539.7543728649616,0.55
13/20,11/20,13600,1360000,64.87917375564575,4190.135783433914,194.2187091857195,502.2021144479513,0.83
13/20,12/20,13650,1365000,62.210304975509644,4229.994560718536,190.35217897593975,516.1667069345713,0.85
