Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success
2/20,2/20,2150,215000,199.77504706382751,1245.7342040538788,80.3498780168593,169.38670267909765,0.0
2/20,3/20,2200,220000,200.42332196235657,1265.2277024388313,80.84921988844872,172.1001127883792,0.0
2/20,4/20,2250,225000,185.58649802207947,1249.8668595552444,80.36670831590891,171.37405033037066,0.0
2/20,5/20,2300,230000,207.4900209903717,1266.9975886940956,79.73448537662625,181.91218112409115,0.0
2/20,6/20,2350,235000,194.48337578773499,1272.959170281887,80.0454244427383,179.80900491401553,0.0
2/20,7/20,2400,240000,196.0226399898529,1291.2646092176437,80.48475247994065,189.50788862258196,0.0
2/20,8/20,2450,245000,187.9965431690216,1292.7014034986496,79.20797917619348,185.53795414417982,0.0
2/20,9/20,2500,250000,195.8995931148529,1283.1070461273193,79.4966277629137,175.5218260884285,0.0
2/20,10/20,2550,255000,192.98515486717224,1298.606266617775,80.23919316753745,182.16724947094917,0.0
2/20,11/20,2600,260000,190.48147702217102,1306.4354437589645,80.67584631219506,170.74636831879616,0.0
2/20,12/20,2650,265000,189.3764340877533,1284.929100036621,81.79687440767884,169.53809671103954,0.0
2/20,13/20,2700,270000,188.7932469844818,1244.2737013101578,79.44188941642642,155.28338683396578,0.0
2/20,14/20,2750,275000,193.7864727973938,1247.0827196240425,79.64018401503563,164.97543228045106,0.0
2/20,15/20,2800,280000,186.00495171546936,1251.7007348537445,78.81266157329082,165.1482073701918,0.0
2/20,16/20,2850,285000,240.11043405532837,1255.757021844387,79.45944943279028,166.07436310872436,0.0
2/20,17/20,2900,290000,211.57619094848633,1282.96362221241,79.01917999610305,187.98047069087625,0.0
2/20,18/20,2950,295000,210.4254870414734,1278.9357276558876,80.01497505605221,177.30765165016055,0.0
2/20,19/20,3000,300000,208.15194392204285,1328.5093250274658,80.68742625042796,184.61272080242634,0.0
3/20,0/20,3050,305000,210.1692180633545,1366.224399626255,81.63189855217934,185.58352169767022,0.0
3/20,1/20,3100,310000,209.44617414474487,1419.4719333648682,86.44503369927406,214.94470344483852,0.0
3/20,2/20,3150,315000,219.0174252986908,1434.0240914821625,86.9184037335217,218.43691980838776,0.0
3/20,3/20,3200,320000,211.06067085266113,1499.2461988329887,91.02333840727806,231.4950372800231,0.0
3/20,4/20,3250,325000,222.80038189888,1562.0305688977242,95.0356765538454,248.75274645537138,0.0
3/20,5/20,3300,330000,214.4199879169464,1601.8572153449059,97.71364774927497,286.48525178432465,0.0
3/20,6/20,3350,335000,207.6183660030365,1674.0932859182358,102.5214829146862,307.2621561959386,0.0
3/20,7/20,3400,340000,210.5912730693817,1738.1107249259949,111.8587209880352,334.3941329419613,0.0
3/20,8/20,3450,345000,230.3997061252594,1863.7150126695633,119.59426289796829,371.11608819663525,0.0
3/20,9/20,3500,350000,225.89294004440308,1970.5716270208359,128.511184848845,377.3303592056036,0.0
3/20,10/20,3550,355000,240.94785904884338,2056.3724175691605,138.81452148407698,407.02897395193577,0.0
3/20,11/20,3600,360000,241.23838591575623,2118.926787853241,146.12616991251707,406.5264155417681,0.0
3/20,12/20,3650,365000,239.19136691093445,2178.0584230422974,152.47878458350897,428.95335678756237,0.0
3/20,13/20,3700,370000,229.81989407539368,2204.363844513893,156.9148923829198,449.0741573870182,0.0
3/20,14/20,3750,375000,228.50571012496948,2301.8589890003204,163.12308924645185,470.29387317597866,0.0
3/20,15/20,3800,380000,251.86965823173523,2356.8164842128754,166.21966793388128,485.5101722031832,0.0
3/20,16/20,3850,385000,260.7381479740143,2362.4543220996857,170.8061796873808,494.950556948781,0.0
3/20,17/20,3900,390000,239.00851583480835,2383.4775615930557,170.81152893602848,497.53133042156696,0.0
3/20,18/20,3950,395000,235.6534140110016,2377.1596953868866,174.7242310345173,486.8818394690752,0.0
3/20,19/20,4000,400000,221.44020581245422,2349.9284443855286,172.95609651505947,471.38322588801384,0.0
4/20,0/20,4050,405000,224.00177597999573,2331.8347438573837,175.13397991657257,485.2834206074476,0.0
4/20,1/20,4100,410000,223.17672610282898,2286.594332575798,174.7054830044508,464.623132199049,0.0
4/20,2/20,4150,415000,230.26627397537231,2299.6396123170853,172.05030944943428,449.58222141861916,0.0
4/20,3/20,4200,420000,248.26021695137024,2340.445237159729,172.06072802841663,426.82405149936676,0.0
4/20,4/20,4250,425000,214.32211303710938,2388.3186526298523,169.83545027673244,431.10980220139027,0.0
4/20,5/20,4300,430000,219.27458000183105,2453.903233528137,170.16227912902832,436.843957901001,0.0
4/20,6/20,4350,435000,243.7294797897339,2507.5466932058334,168.38772381842136,412.557456061244,0.04
4/20,7/20,4400,440000,218.92161083221436,2584.2467769384384,169.43244184553623,402.2553998827934,0.09
4/20,8/20,4450,445000,234.6482093334198,2648.0296391248703,167.04205580055714,435.14813008904457,0.41
4/20,9/20,4500,450000,242.6351501941681,2712.7029237747192,169.33417762815952,413.37659047544,0.42
4/20,10/20,4550,455000,258.0924549102783,2801.995986700058,171.9468800574541,418.43346723914146,0.53
4/20,11/20,4600,460000,92.23473620414734,2915.722093462944,169.63855528831482,438.63421151041985,0.22
4/20,12/20,4650,465000,88.69279074668884,2999.8803622722626,170.0375611037016,450.3487076610327,0.52
4/20,13/20,4700,470000,85.19083070755005,3067.0546596050262,167.32517617940903,460.6105033457279,0.34
4/20,14/20,4750,475000,75.32065606117249,3131.1158900260925,168.39648599922657,467.39582131803036,0.33
4/20,15/20,4800,480000,82.30073428153992,3179.5044906139374,167.76850636303425,463.78555965423584,0.1
4/20,16/20,4850,485000,81.80762600898743,3211.4835453033447,163.5627290457487,455.1695004552603,0.5
4/20,17/20,4900,490000,72.96374201774597,3298.6502153873444,166.3838074579835,474.00676845014095,0.83
4/20,18/20,4950,495000,83.25995683670044,3330.14550280571,167.37761837244034,472.2149579077959,0.89
